 	Area	Mean	Min	Max	X	Y	Slice	Counter	Count
1	0	178	178	178	202	629	1	0	80
5	0	183	183	183	393	199	2	0	80
9	0	182	182	182	452	186	3	0	80
13	0	217	217	217	500	167	4	0	80
17	0	204	204	204	520	156	5	0	80
21	0	160	160	160	524	168	6	0	80
25	0	170	170	170	207	232	7	0	80
29	0	142	142	142	204	202	8	0	80
33	0	183	183	183	212	205	9	0	80
37	0	146	146	146	212	198	10	0	80
41	0	140	140	140	213	195	11	0	80
45	0	149	149	149	221	194	12	0	80
49	0	152	152	152	229	189	13	0	80
53	0	155	155	155	239	198	14	0	80
57	0	176	176	176	252	186	15	0	80
61	0	130	130	130	257	240	16	0	80
65	0	165	165	165	240	270	17	0	80
69	0	159	159	159	195	339	18	0	80
73	0	194	194	194	191	368	19	0	80
77	0	183	183	183	184	366	20	0	80
