ap10k,animalpose,stanforddogs,cheetah,horse,webapp,MasterName
nose,nose,Nose,nose,Nose,nose,nose
,,,,,,upper_jaw
,,,,,,lower_jaw
,,,,,,mouth_end_right
,,,,,,mouth_end_left
right_eye,right_eye,R_Eye,r_eye,Eye,right_eye,right_eye
,right_ear,R_EarBase,,,right_ear,right_earbase
,,R_EarTip,,,,right_earend
,,,,,,right_antler_base
,,,,,,right_antler_end
left_eye,left_eye,L_Eye,l_eye,,left_eye,left_eye
,left_ear,L_EarBase,,,left_ear,left_earbase
,,L_EarTip,,,,left_earend
,,,,,,left_antler_base
,,,,,,left_antler_end
neck,,,neck_base,,,neck_base
,,,,,,neck_end
,throat,Throat,,,throat,throat_base
,,,,,,throat_end
,withers,Withers,,Wither,withers,back_base
,,,,,,back_end
,,,spine,,,back_middle
root_of_tail,tailbase,TailBase,tail_base,,tailset,tail_base
,,TailEnd,tail_tip,,,tail_end
left_shoulder,left_front_elbow,L_F_Elbow,l_shoulder,,left_front_elbow,front_left_thai
,left_front_knee,L_F_Knee,l_front_knee,,,front_left_knee
left_front_paw,left_front_paw,L_F_Paw,l_front_paw,Nearfrontfoot,left_front_paw,front_left_paw
right_shoulder,right_front_elbow,R_F_Elbow,r_shoulder,Elbow,right_front_elbow,front_right_thai
,right_front_knee,R_F_Knee,r_front_knee,,,front_right_knee
right_front_paw,right_front_paw,R_F_Paw,r_front_paw,Offfrontfoot,right_front_paw,front_right_paw
left_back_paw,left_back_paw,L_B_Paw,l_back_paw,Nearhindfoot,left_back_paw,back_left_paw
left_hip,left_back_elbow,L_B_Elbow,l_hip,,left_back_stifle,back_left_thai
right_hip,right_back_elbow,R_B_Elbow,r_hip,Stifle,right_back_stifle,back_right_thai
left_knee,left_back_knee,L_B_Knee,l_back_knee,,,back_left_knee
right_knee,right_back_knee,R_B_Knee,r_back_knee,,,back_right_knee
right_back_paw,right_back_paw,R_B_Paw,r_back_paw,Offhindfoot,right_back_paw,back_right_paw
,,,,,,belly_bottom
,,,,,,body_middle_right
,,,,,,body_middle_left
