scorer,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel
individuals,bird1,bird1,bird1,bird1,bird1,bird1,bird1,bird1,bird2,bird2,bird2,bird2,bird2,bird2,bird2,bird2,bird3,bird3,bird3,bird3,bird3,bird3,bird3,bird3,bird4,bird4,bird4,bird4,bird4,bird4,bird4,bird4,bird5,bird5,bird5,bird5,bird5,bird5,bird5,bird5,bird6,bird6,bird6,bird6,bird6,bird6,bird6,bird6,bird7,bird7,bird7,bird7,bird7,bird7,bird7,bird7,bird8,bird8,bird8,bird8,bird8,bird8,bird8,bird8
bodyparts,head,head,tail,tail,leftwing,leftwing,rightwing,rightwing,head,head,tail,tail,leftwing,leftwing,rightwing,rightwing,head,head,tail,tail,leftwing,leftwing,rightwing,rightwing,head,head,tail,tail,leftwing,leftwing,rightwing,rightwing,head,head,tail,tail,leftwing,leftwing,rightwing,rightwing,head,head,tail,tail,leftwing,leftwing,rightwing,rightwing,head,head,tail,tail,leftwing,leftwing,rightwing,rightwing,head,head,tail,tail,leftwing,leftwing,rightwing,rightwing
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/montblanccropped/img0000c0.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,252.70000000000005,25.569999999999936,262.28,13.210000000000036,260.89,17.839999999999918,254.86,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c1.png,140.58000000000004,211.64,155.53999999999996,206.8,107.29999999999995,206.58999999999997,178.72000000000003,208.48000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c2.png,,,,,,,,,,,,,,,,,,,,,,,0.4199999999999591,139.16999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c3.png,,,,,,,,,,,4.990000000000009,102.08000000000004,,,3.7899999999999636,106.49000000000001,16.00999999999999,154.76,23.82000000000005,152.36,10.799999999999955,150.36,24.41999999999996,157.16999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c4.png,175.58000000000004,38.639999999999986,190.53999999999996,33.80000000000001,142.29999999999995,33.589999999999975,213.72000000000003,35.48000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c6.png,285.58000000000004,253.64,300.53999999999996,248.8,252.29999999999995,248.58999999999997,323.72,250.48000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c7.png,,,,,,,,,292.78,345.48,302.99,346.08000000000004,288.97,339.07000000000005,301.78999999999996,350.49,314.01,398.76,321.82000000000005,396.36,308.79999999999995,394.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0000c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c0.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.52999999999997,386.21000000000004,209.20000000000005,395.28999999999996,197.22000000000003,393.23,199.27999999999997,386.69000000000005,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.52999999999997,345.21000000000004,103.20000000000005,354.28999999999996,91.22000000000003,352.23,93.27999999999997,345.69000000000005,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.780000000000001,220.46000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.529999999999973,64.21000000000004,37.200000000000045,73.28999999999996,25.220000000000027,71.23000000000002,27.279999999999973,64.69000000000005,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c4.png,,,,,,,,,376.76,15.649999999999977,382.83000000000004,20.819999999999993,387.84000000000003,13.069999999999993,364.61,21.879999999999995,,,,,,,395.58000000000004,18.689999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c5.png,274.1,377.14,287.64,382.67,290.82,373.61,265.86,382.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c6.png,,,,,,,,,,,,,,,,,,,,,,,,,217.4000000000001,287.66999999999996,,,209.3800000000001,338.96000000000004,273.5,330.94000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c7.png,,,,,,,,,62.75999999999999,242.64999999999998,68.83000000000004,247.82,73.84000000000003,240.07,50.610000000000014,248.88,92.50999999999999,240.52999999999997,97.07000000000005,245.99,108.75999999999999,240.07,81.58000000000004,245.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0048c9.png,,,,,,,,,,,,,,,,,,,,,,,,,380.4000000000001,388.66999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c0.png,212.06,50.43000000000001,228.70999999999998,52.920000000000016,227.82999999999998,46.339999999999975,208.99,57.30000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c1.png,,,,,,,,,98.50999999999999,286.34,107.46000000000004,291.81,111.36000000000001,286.34,89.87,293.61,186.10000000000002,253.11,195.48000000000002,257.48,202.73000000000002,250.69,175.5,260.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.17000000000007,205.08000000000004,146.76999999999998,212.61,133.81999999999994,210.96000000000004,135.58999999999992,204.61,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/montblanccropped/img0071c5.png,,,,,,,,,302.51,87.33999999999997,311.46000000000004,92.81,315.36,87.33999999999997,293.87,94.61000000000001,390.1,54.110000000000014,399.48,58.48000000000002,,,379.5,61.55000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
