scorer,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10,DeepCut_resnet50_TESTAug16shuffle2_10
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,23.70538854598999,712.0600843429565,0.6383842825889587,4.04355726391077,6.131024360656738,0.6646369099617004,7.26093864440918,11.34730350971222,0.44491562247276306,554.1110063791275,-4.914421081542969,0.7148723006248474
1,384.1320972442627,712.0600843429565,0.5170548558235168,4.140045717358589,494.5829162597656,0.510252833366394,7.26093864440918,11.34730350971222,0.4693499505519867,556.965596139431,-5.782498359680176,0.6303210258483887
2,384.4528031349182,712.0600843429565,0.616951048374176,376.5548038482666,494.5829162597656,0.7664516568183899,14.157975912094116,11.503149032592773,0.46223005652427673,556.965596139431,-6.025539398193359,0.6439617276191711
3,384.4528031349182,711.5556664466858,0.6783949136734009,376.5548038482666,493.78616428375244,0.5935680270195007,7.26093864440918,675.6583919525146,0.43827715516090393,556.8512112498283,-6.025539398193359,0.6272184252738953
4,384.4528031349182,710.9065461158752,0.7426548600196838,376.5548038482666,494.5829162597656,0.5538884401321411,7.26093864440918,12.408490240573883,0.4454764127731323,556.8512112498283,-6.025539398193359,0.6597195863723755
5,385.07770013809204,710.7334871292114,0.7468379735946655,376.5548038482666,494.5829162597656,0.5214014053344727,4.8495983481407166,11.503149032592773,0.4681927263736725,556.1149722412229,-6.025539398193359,0.6639009118080139
6,386.26705026626587,710.7334871292114,0.638212263584137,3.683518499135971,494.8308038711548,0.6263629198074341,4.822355687618256,11.503149032592773,0.44933491945266724,554.3324714899063,-4.525093078613281,0.6680105328559875
7,386.26705026626587,710.7334871292114,0.7232696413993835,3.683518499135971,500.6482014656067,0.6037183403968811,4.799091815948486,4.719781458377838,0.4354960322380066,554.1814150810242,-4.525093078613281,0.5655952095985413
8,384.9730610847473,710.7334871292114,0.7529311180114746,373.47013759613037,500.6482014656067,0.5785728693008423,4.799091815948486,4.5194478034973145,0.44305819272994995,553.7597515583038,-4.08028507232666,0.5580103397369385
9,384.9730610847473,710.7504811286926,0.678962230682373,373.47013759613037,500.6482014656067,0.7723561525344849,4.799091815948486,4.5194478034973145,0.4544624984264374,551.9727764129639,-3.0670719146728516,0.6432120203971863
10,384.1188817024231,710.7504811286926,0.6392877697944641,8.90539026260376,500.6482014656067,0.6667919754981995,4.777019441127777,4.5194478034973145,0.44651392102241516,551.5522623062134,-3.0670719146728516,0.7278794646263123
11,383.7539641857147,710.7504811286926,0.6905230283737183,8.90539026260376,497.17725372314453,0.5322095155715942,4.777019441127777,4.130174100399017,0.46229472756385803,539.7322552204132,0.0,0.6973837018013
